Date,PnL
5/14/2024,-0.010114621
5/15/2024,0.003940374
5/16/2024,0
5/17/2024,0.004242142
5/18/2024,0
5/19/2024,0
5/20/2024,0.013973144
5/21/2024,-0.009869271
5/22/2024,-0.009403691
5/23/2024,0.008616273
5/24/2024,0
5/25/2024,0
5/26/2024,0
5/27/2024,0.00396422
5/28/2024,-0.006844273
5/29/2024,0
5/30/2024,0.003487756
5/31/2024,0
6/1/2024,0
6/2/2024,0
6/3/2024,-0.012252924
6/4/2024,0.001960412
6/5/2024,0
6/6/2024,0
6/7/2024,0.00620143
6/8/2024,0
6/9/2024,-0.008213307
6/10/2024,0
6/11/2024,-0.007034915
6/12/2024,-0.003986949
6/13/2024,-0.012268155
6/14/2024,0.002908541
6/15/2024,0
6/16/2024,0.006872948
6/17/2024,-0.000156193
6/18/2024,-0.001461224
6/19/2024,-0.006650932
6/20/2024,0.003876787
6/21/2024,-0.007949602
6/22/2024,0
6/23/2024,0
6/24/2024,0.008396268
6/25/2024,-0.008788836
6/26/2024,0
6/27/2024,-0.004296769
6/28/2024,0.005033062
6/29/2024,0
6/30/2024,-0.005766262
7/1/2024,-0.007066039
7/2/2024,0.002591989
7/3/2024,0.00176605
7/4/2024,0
7/5/2024,0
7/6/2024,0.002031596
7/7/2024,0.010216222
7/8/2024,0.002924424
7/9/2024,0.006507281
7/10/2024,0.007100127
7/11/2024,-0.001168077
7/12/2024,0
7/13/2024,0.013678661
7/14/2024,0.000129218
7/15/2024,0.017078355
7/16/2024,0.017003587
7/17/2024,0.004034498
7/18/2024,0
7/19/2024,0.025918298
7/20/2024,0.009283763
7/21/2024,0.009869434
7/22/2024,-0.021043459
7/23/2024,0
7/24/2024,0.000961258
7/25/2024,-0.005334315
7/26/2024,-0.0040238
7/27/2024,-0.018344576
7/28/2024,0
7/29/2024,0
7/30/2024,0
7/31/2024,0
8/1/2024,0
8/2/2024,0
8/3/2024,0.014550365
8/4/2024,0
8/5/2024,0.017006401
8/6/2024,0.022396202
8/7/2024,0.017484923
8/8/2024,0.003383637
8/9/2024,0
8/10/2024,0
8/11/2024,0.005955721
8/12/2024,-0.022517898
8/13/2024,-0.003706378
8/14/2024,0.012620398
8/15/2024,-0.020553981
8/16/2024,-0.006874793
8/17/2024,0
8/18/2024,0
8/19/2024,0.006840028
8/20/2024,-0.01496972
8/21/2024,0
8/22/2024,0.005875387
8/23/2024,0.031126652
8/24/2024,0
8/25/2024,0.01107071
8/26/2024,0.003888584
8/27/2024,-0.015397395
8/28/2024,-0.01091449
8/29/2024,0
8/30/2024,0
8/31/2024,0
9/1/2024,0.009507668
9/2/2024,0.008988508
9/3/2024,0
9/4/2024,0.005118483
9/5/2024,0.014873852
9/6/2024,0
9/7/2024,0
9/8/2024,-0.010286194
9/9/2024,0
9/10/2024,0
9/11/2024,0
9/12/2024,0
9/13/2024,0
9/14/2024,0
9/15/2024,0
9/16/2024,0
9/17/2024,0.0059752
9/18/2024,0.007760966
9/19/2024,0.011293694
9/20/2024,-0.024390464
9/21/2024,-0.008410679
9/22/2024,-0.003260048
9/23/2024,0
9/24/2024,-0.000981941
9/25/2024,0
9/26/2024,0
9/27/2024,0
9/28/2024,0
9/29/2024,0
9/30/2024,0
10/1/2024,0
10/2/2024,0
10/3/2024,-0.004337295
10/4/2024,0
10/5/2024,0
10/6/2024,0
10/7/2024,-0.003700685
10/8/2024,0
10/9/2024,0
10/10/2024,0
10/11/2024,0
10/12/2024,0
10/13/2024,0
10/14/2024,0.007218736
