Pair,Trading ID,Trading Time,Timestamp(ms),Trading Type,Trading Price,Trading Amount,Trading Cost,PnL,Fee
SOL/USDT:USDT,483429532,2024-10-05 14:55:14.169,1728111314169,buy,144.41,4.77,688.8357,-19.5183510103499243,-0.34441785
SOL/USDT:USDT,483499551,2024-10-05 18:25:14.194,1728123914194,buy,144.37,11.32,1634.2684,-22.9337397732873315,-0.8171342
SOL/USDT:USDT,483536332,2024-10-05 20:40:14.281,1728132014281,sell,143.79,1.87,268.8873,-1.0846,-0.13444365
SOL/USDT:USDT,483884505,2024-10-06 19:35:14.286,1728214514286,buy,144.18,1.88,271.0584,0,-0.1355292
SOL/USDT:USDT,483925841,2024-10-06 21:35:14.345,1728221714345,buy,144.81,1.86,269.3466,0,-0.1346733
SOL/USDT:USDT,483940602,2024-10-06 22:15:14.320,1728224114320,buy,144.7,1.89,273.483,0,-0.1367415
SOL/USDT:USDT,484187894,2024-10-07 08:20:14.233,1728260414233,sell,147.49,0.02,2.9498,0.0600966029723991,-0.0014749
SOL/USDT:USDT,484187895,2024-10-07 08:20:14.233,1728260414233,sell,147.49,0.01,1.4749,0.0300483014861996,-0.00073745
SOL/USDT:USDT,484187896,2024-10-07 08:20:14.233,1728260414233,sell,147.49,1.07,157.8143,3.2151682590233544,-0.07890715
SOL/USDT:USDT,484358928,2024-10-07 11:45:14.138,1728272714138,buy,149.64,1.69,252.8916,0,-0.1264458
SOL/USDT:USDT,484377446,2024-10-07 12:35:14.166,1728275714166,buy,150.1,1.78,267.178,0,-0.133589
SOL/USDT:USDT,484575040,2024-10-07 19:10:14.164,1728299414164,sell,146.24,1.59,232.5216,0.2674796497085403,-0.1162608
SOL/USDT:USDT,484604005,2024-10-07 20:00:14.298,1728302414298,sell,147.2,0.03,4.416,0.0338467858435574,-0.002208
SOL/USDT:USDT,484604006,2024-10-07 20:00:14.298,1728302414298,sell,147.2,0.01,1.472,0.0112822619478525,-0.000736
SOL/USDT:USDT,484604007,2024-10-07 20:00:14.298,1728302414298,sell,147.2,0.02,2.944,0.0225645238957049,-0.001472
